Name,Link,Rating,Enroll,Instructor,Time,Level,Price,Practice Task,Knowledge,Programing Language,Tool,Platform,Framework,Program,Subtitle,Subject,Organization
Agile Planning for Software Products,https://www.coursera.org/learn/agile-planning-for-software-products,4.8,54768,Kenny Wong,12 hours,,Free,,"software development,agile,program evaluation and review technique (pert)",,,,,Software Product Management Specialization,"Arabic,French,Portuguese (European),Greek,Italian,Vietnamese,Korean,German,Russian,English,Spanish",Computer Science,University of Alberta
Agile Leader Training,https://www.coursera.org/learn/agile-leader-training,4.7,3423,Oxana Trotsenko,15 hours,Beginner,Free,,agile,,,,,Agile Leadership Specialization,"English,Hungarian",Business,University of Colorado System
Building Database Applications in PHP,https://www.coursera.org/learn/database-applications-php,4.9,39613,Charles Russell Severance,24 hours,Intermediate,Free,,,php,mysql,,,Web Applications for Everybody Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,Korean,German,Russian,English,Spanish",Computer Science,University of Michigan
Web Design: Wireframes to Prototypes,https://www.coursera.org/learn/web-design-wireframes-prototypes,4.9,40202,Roman Jaster,41 hours,Intermediate,Free,,sketch,"html,css","adobe xd,adobe illuastrator",,,UI / UX Design Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Arts and Humanities,California Institute of the Arts
Web Application Development with JavaScript and MongoDB,https://www.coursera.org/learn/web-application-development,4.9,58939,Dr Matthew Yee-King,27 hours,,Free,,"routing,simpleschema,textcircle",javascript,mongodb,,meteor,Responsive Website Development and Design Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,"University of London,Goldsmiths,University of London"
JavaScript Basics,https://www.coursera.org/learn/javascript-basics,4.7,15228,William Mead,21 hours,Beginner,Free,,"selection control structures,core programming structures",,code editor,,,JavaScript for Beginners Specialization,English,Computer Science,"University of California,Davis"
Python Programming: A Concise Introduction,https://www.coursera.org/learn/python-programming-introduction,4.7,211441,Bill Boyd,18 hours,Beginner,Free,,,python,,spyder ide,,,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,Wesleyan University
What is Data Science?,https://www.coursera.org/learn/what-is-datascience,4.7,520871,"Rav Ahuja,Alex Aklson",9 hours,Beginner,Free,,"programming principles,interfaces software design",java,,,,Introduction to Data Science Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,Turkish,English,Spanish",Data Science,IBM
Google Cloud Big Data and Machine Learning Fundamentals,https://www.coursera.org/learn/gcp-big-data-ml-fundamentals,4.7,229962,Google Cloud Training,12 hours,Intermediate,Free,,"bigquery,cloud computing,big data",,"google cloud sql,my sql",google cloud,tensorflow,,English,Data Science,Google Cloud
Java Programming: Principles of Software Design,https://www.coursera.org/learn/java-programming-design-principles,4.6,92671,"Robert Duvall,Owen Astrachan,Andrew D. Hilton,Susan H. Rodger",13 hours,Beginner,Free,,"programming principles,interfaces,software design",java,,,,Java Programming and Software Engineering Fundamentals Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,Korean,German,Russian,English,Spanish",Computer Science,Duke University
"Java Programming: Arrays,Lists,and Structured Data",https://www.coursera.org/learn/java-programming-arrays-lists-data,4.7,124844,"Andrew D. Hilton,Robert Duvall,Owen Astrachan,Susan H. Rodger",14 hours,Beginner,Free,write an encryption program and a program to break your encryption algorithm,"data structure,cryptography,hash table",java,,,,,"Arabic,French,Portuguese (European),Italian,Vietnamese,Korean,German,Russian,English,Spanish",Computer Science,Duke University
Data Structures and Performance,https://www.coursera.org/learn/data-structures-optimizing-performance,4.8,84959,"Christine Alvarado,Mia Minnes,Leo Porter",42 hours,Intermediate,Free,,"trees (data structures),data structure,linked list,binary tree",java,,,,,"Arabic,French,Portuguese (European),Italian,Vietnamese,Korean,German,Russian,English,Spanish",Computer Science,University of California San Diego
Databases and SQL for Data Science with Python,https://www.coursera.org/learn/sql-data-science,4.6,2221651,"Rav Ahuja,Hima Vasudevan",20 hours,Beginner,Free,,"relational database management system (rdbms),cloud database","python,sql",ipython,,,"Introduction to Data Science Specialization,Data Science Fundamentals with Python and SQL Specialization","English,Arabic,Persian",Data Science,IBM
Applied Social Network Analysis in Python,https://www.coursera.org/learn/python-social-network-analysis,4.7,82606,Daniel Romero,29 hours,Intermediate,Free,,"graph theory,network analysis,social network analysis",python,,,,Applied Data Science with Python Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,Korean,German,Russian,English,Spanish",Data Science,University of Michigan
Introduction to Python Programming,https://www.coursera.org/learn/python-programming-intro,4.3,16897,Brandon Krakowsky,28 hours,Beginner,Free,,"python systax and sematics,computer programing",python,,,,Introduction to Programming with Python and Java Specialization,English,Computer Science,University of Pennsylvania
Python Data Representations,https://www.coursera.org/learn/python-representation,4.7,2084,"Scott Rixner,Joe Warren",9 hours,Beginner,Free,,"tuple,debugging list&amp,label",,,,,Introduction to Scripting in Python Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,Rice University
Python Programming Essentials,https://www.coursera.org/learn/python-programming,4.8,72816,"Scott Rixner,Joe Warren",10 hours,Beginner,Free,,debugging,python,,codeskulptor,,Introduction to Scripting in Python Specialization,"Arabic,French,Portuguese (European),Chinese (Simplified),Italian,Vietnamese,Korean,German,Russian,English,Spanish",Computer Science,Rice University
Python Project for Data Science,https://www.coursera.org/learn/python-project-for-data-science,4.5,42172,"Azim Hirjani,Joseph Santarcangelo",7 hours,Intermediate,Free,,"data science,data analysis",python,ipython,,pandas,Data Science Fundamentals with Python and SQL Specialization,English,Data Science,IBM
Using Python to Interact with the Operating System,https://www.coursera.org/learn/python-operating-system,4.7,111691,Google Career Certificates,31 hours,Beginner,Free,,"regular expression (regex),testing","python,script",bash,,,Google IT Automation with Python Professional Certificate,English,Information Technology,Google
Applied Machine Learning in Python,https://www.coursera.org/learn/python-machine-learning,4.6,246234,Kevyn Collins-Thompson,35 hours,Intermediate,Free,,machine learning (ml) algorithms,python,,,scikit-learn,,"Arabic,French,Portuguese (European),Italian,Vietnamese,Korean,German,Russian,English,Spanish",Data Science,University of Michigan
"Python for Data Science,AI & Development",https://www.coursera.org/learn/python-for-applied-data-science-ai,4.6,351802,Joseph Santarcangelo,20 hours,Beginner,Free,,"data science,data analysis",,python,,"pandas,numpy","DevOps and Software Engineering Professional Certificate,IBM Full Stack Cloud Developer Professional Certificate,Data Science Fundamentals with Python and SQL Specialization","Arabic,French,Portuguese (European),Italian,Vietnamese,Korean,German,Russian,English,Spanish",Data Science,IBM
Using Databases with Python,https://www.coursera.org/learn/python-databases,4.8,397122,Charles Russell Severance,15 hours,,Free,utilize the google maps api to visualize data,database (dbms),"sql,python",sqlite,,,Python for Everybody Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,Korean,German,Russian,English,Spanish",Computer Science,University of Michigan
"Capstone: Retrieving,Processing,and Visualizing Data with Python",https://www.coursera.org/learn/python-data-visualization,4.7,211292,Charles Russell Severance,9 hours,,Free,,"data analysis,database (dbms),data visualization (dataviz)",python,,,,Python for Everybody Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,Korean,German,Russian,English,Spanish",Data Science,University of Michigan
Python Data Structures,https://www.coursera.org/learn/python-data,4.9,80662,Charles Russell Severance,19 hours,,Free,,"data structure,tuple",python,,,,Python for Everybody Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,Korean,German,Russian,English,Spanish",Computer Science,University of Michigan
Crash Course on Python,https://www.coursera.org/learn/python-crash-course,4.8,444869,Google Career Certificates,32 hours,Beginner,Free,,object-oriented programming (oop),python,,,,Google IT Automation with Python Professional Certificate,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Information Technology,Google
Distributed Computing with Spark SQL,https://www.coursera.org/learn/spark-sql,4.5,23557,"Brooke Wenig,Conor Murphy",14 hours,Intermediate,Free,,"data science,delta lake,spreadsheet",sql,,,,Learn SQL Basics for Data Science Specialization,"English,Spanish",Data Science,"University of California,Davis"
Process Data from Dirty to Clean,https://www.coursera.org/learn/process-data,4.8,9956,Google Career Certificates,22 hours,Beginner,Free,,"data cleansing,sample size determination,data integrity",sql,,,,Google Data Analytics Professional Certificate,English,Data Science Google,Google
Introduction to Data Engineering,https://www.coursera.org/learn/introduction-to-data-engineering,4.8,20833,"Rav Ahuja,Priya Kapoor",11 hours,Beginner,Free,,"data science,database (dbms)","sql,nosql",,,,,English,Information Technology,IBM
Exploring ?and ?Preparing ?your ?Data with BigQuery,https://www.coursera.org/learn/gcp-exploring-preparing-data-bigquery,4.7,52343,Google Cloud Training,13 hours,Beginner,Free,,cloud computing,sql,,"bigquery,google cloud",,From Data to Insights with Google Cloud Specialization,"English,Japanese",Information Technology,Google Cloud
Foundations for Big Data Analysis with SQL,https://www.coursera.org/learn/foundations-big-data-analysis-sql,4.8,39021,Glynn Durham,12 hours,Beginner,Free,,"database (dbms),data warehousing,data analysis,big data",sql,,,,Modern Big Data Analysis with SQL Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Data Science,Cloudera
"Foundations: Data,Data,Everywhere",https://www.coursera.org/learn/foundations-data,4.8,530651,Google Career Certificates,20 hours,Beginner,Free,,"data cleansing,data analysis,data visualization,spreadsheet",sql,,,,Google Data Analytics Professional Certificate,English,Data Science,Google
Web Application Technologies and Django,https://www.coursera.org/learn/django-database-web-apps,4.7,57454,Charles Russell Severance,15 hours,Intermediate,Free,,"http,web markup","html,css,python,sql",,,django,Django for Everybody Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,University of Michigan
Django Features and Libraries,https://www.coursera.org/learn/django-features-libraries,4.8,17294,Charles Russell Severance,16 hours,Intermediate,Free,,"user authentication,sessions and cookies,one-to-many models,data validation",,,,django,Django for Everybody Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,University of Michigan
"Using JavaScript,JQuery,and JSON in Django",https://www.coursera.org/learn/django-javascript-jquery-json,4.8,17646,Charles Russell Severance,19 hours,Intermediate,Free,,"document object model (dom),many-to-many data modeling","json,javascript",,jquery,django,Django for Everybody Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,University of Michigan
Building Web Applications in Django,https://www.coursera.org/learn/django-build-web-apps,4.7,28188,Charles Russell Severance,13 hours,Intermediate,Free,,"get & post,object-oriented programming (oop),cross-site scripting forgery (csrf)",django template language,,,django,Django for Everybody Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,University of Michigan
Database Management Essentials,https://www.coursera.org/learn/database-management,4.6,161537,Michael Mannino,36 hours,Intermediate,Free,,"database (db) design,entityñrelationship (e-r) model,database (dbms),spreadsheet",sql,,,,Data Warehousing for Business Intelligence Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,University of Colorado System
Prepare Data for Exploration,https://www.coursera.org/learn/data-preparation,4.8,124227,Google Career Certificates,22 hours,Beginner,Free,,"metadata,data collection,data ethics",sql,,,,Google Data Analytics Professional Certificate,English,Data Science,Google
Data-driven Astronomy,https://www.coursera.org/learn/data-driven-astronomy,4.8,25245,"Tara Murphy,Simon Murphy",24 hours,Intermediate,Free,,"machine learning,applied machine learning","python,sql",,,,,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Physical Science and Engineering,The University of Sydney
Analyzing Big Data with SQL,https://www.coursera.org/learn/cloudera-big-data-analysis-sql-queries,4.9,20682,Ian Cook,18 hours,Beginner,Free,,"data analysis,big data",sql,,,"apache hive,apache impala",Modern Big Data Analysis with SQL Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Data Science,Cloudera
Managing Big Data with MySQL,https://www.coursera.org/learn/analytics-mysql,4.7,170238,"Daniel Egger,Jana Schaich Borg",32 hours,,Free,,data analysis,sql,"teradata,mysql",,,Excel to MySQL: Analytic Techniques for Business Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Data Science,Duke University
Introduction to C# Programming and Unity,https://www.coursera.org/learn/introduction-programming-unity,4.6,82178,"Dr. Tim ""Dr. T"" Chamillard",18 hours,Beginner,Free,,"video game development,unity (user interface),game programing",c#,"asterixdb,hp vertica,impala,neo4j,redis,sparksql",,,,English,Computer Science,University of Colorado System
Big Data Modeling and Management Systems,https://www.coursera.org/learn/big-data-management,4.4,83474,"Ilkay Altintas,Amarnath Gupta",13 hours,,Free,,"data mode,big data,data modeling,data management",,,,,Big Data Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,Korean,German,Russian,Turkish,English,Spanish",Data Science,University of California San Diego
Tools for Data Science,https://www.coursera.org/learn/open-source-tools-for-data-science,4.5,243553,"Aije Egwaikhide,Svetlana Levitan,Romeo Kienzler",19 hours,Beginner,Free,,data science,python,"jupyter notebooks,rstudio,github",,,"Introduction to Data Science Specialization,Data Science Fundamentals with Python and SQL Specialization","Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish,Persian",Data Science,IBM
Open Source Software Development Methods,https://www.coursera.org/learn/open-source-software-development-methods,4.6,37518,Jerry Cooperstein,6 hours,Beginner,Free,,open source,,github,,,"Open Source Software Development,Linux and Git Specialization","Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish,Persian",Computer Science,The Linux Foundation
Introduction to Git and GitHub,https://www.coursera.org/learn/introduction-git-github,4.8,132907,Google Career Certificates,19 hours,Beginner,Free,,"revertng changes,creating pull requests",,"git,github",,,Google IT Automation with Python Professional Certificate,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Information Technology,Google
The Data Scientistís Toolbox,https://www.coursera.org/learn/data-scientists-tools,4.6,65556,"Jeff Leek,PhD,Roger D. Peng,PhD,Brian Caffo,PhD",18 hours,,Free,,data science,r,"github,rstudio",,,,"Arabic,French,Portuguese (European),Italian,Vietnamese,Korean,German,Russian,English,Spanish",Data Science,Johns Hopkins University
Introduction to Android graphics,https://www.coursera.org/learn/intro-android-graphics,4.1,1244,Benny Lo,20 hours,Intermediate,Free,,"3d computer graphics,2d computer graphics",,android studio,android,,Advanced App Development in Android Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,Imperial College London
Developing Android Apps with App Inventor,https://www.coursera.org/learn/app-inventor-android,4.4,46617,Kenneth W T Leung,40 hours,Beginner,Free,,,,mit app inventor,android,,,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,The Hong Kong University of Science and Technology
Responsive Web Design in Adobe XD,https://www.coursera.org/learn/responsive-web-design-adobe-xd,4.8,28116,Google Career Certificates,40 hours,Beginner,Free,,"user experience (ux),usability testing,prototype,user experience design (uxd)",,adobe xd,,,Google UX Design Professional Certificate,English,Computer Science,Google
Microservices Software Architecture: Patterns and Techniques,https://www.udemy.com/course/microservices-software-architecture-patterns-and-techniques/,4,42374,Binary Brain,1 hours,,$14.99 ,,"microservices,distributed system,event sourcing pattern,saga pattern,circuitbreaker pattern,api compostion,two phase commit",,,,,,English,Microservices,
AngularJS for the Real World - Learn by creating a WebApp,https://www.udemy.com/course/angularjs-for-the-real-world-learn-to-create-a-webapp/,3.9,1669,Alessandro Russo,7 hours,,$13.99 ,,"2-way databinding,services,views,routing,directives,single page application",,,,angular js,,English,AngularJS,
"Architect Android apps with MVP,Dagger,Retrofit & RxJava",https://www.udemy.com/course/architect-android-apps-with-mvp-pattern-rxjava-dagger-retrofit-junit/,3.8,3838,"Rene Gens,TetraNoodle Team,Manuj Aggarwal",5.5 hours,,$13.99 ,,"mvp,dependency injection,gradle build system,unit testing,lambda syntax,diff util,reactive programming",,retrofit,,"dagger 2,junit,rxjava",,"English,Portuguese,Spanish",Mobile Development,
Live Project On ASP.Net Core 2.0 MVC(Formerly ASP.Net MVC 5),https://www.udemy.com/course/aspnet-mvc-web-app-on-3-tier-architecture/,4.4,5500,Manzoor Ahmed,10.5 hours,,$13.99 ,,"repository pattern,iterator pattern,mvvm pattern,dependency injections for loose coupling",,,,".net core 2.0,c#.net core 2.0,ef core 2.0,asp.net core2.0 mvc,bootstrap,jquery,entity framework",,,Programming Languages,
The Complete 2020 Fullstack Web Developer Course,https://www.udemy.com/course/thecompletewebdeveloper/,4.6,85724,Kalob Taulien,67 hours,,$13.99 ,build a login/registration/members-only website,,"html5,css3,python,php,javascript","wagtail cms,mysql,wagtail pythons,git,github","lamp stack,apache. linux",vanilla js,,English,,
Learn Complete Web Development From Scratch,https://www.udemy.com/course/learn-complete-web-development-from-scratch/,4.6,14316,"Eduonix Learning Solutions,Eduonix-Tech .",12 hours,,$13.99 ,,ajax,"html,css,javascript,php,xml,json",mysql,,jquery,,English,Web Development,
Free PHP Tutorial - Practical PHP: Master the Basics and Code Dynamic Websites,https://www.udemy.com/course/code-dynamic-websites/,4.5,232196,"Brad Hussey,Code College",6.3 hours,,Free,,,"php,html,css",,,,,English,Web Development,
Free Responsive Design Tutorial - Build a Responsive Website with a Modern Flat Design,https://www.udemy.com/course/build-responsive-website-designs-with-html5-and-css/,4.5,62996,Stone River eLearning,2 hours,,Free,,,"html,css,javascript,php,xml,json",,,,,English,Responsive Design,
Projects in PHP and MySQL,https://www.udemy.com/course/the-complete-web-development-course-learn-by-building-apps/,4,12384,"Eduonix Learning Solutions,Eduonix-Tech .",20 hours,,$18.99 ,,"software development process,ajax","php,javascript","mysql,wordpress,mysqli",,"jquery,bootstrap",,English,,
The Essential Web Developer Course - Build 12 Websites,https://www.udemy.com/course/the-essential-web-developer-course/,4.1,25756,Robert Kanaat,13 hours,,$13.99 ,,,"html css,javascript,php",mysql,,"jquery,bootstrap",,English,Web Development,
Introduction to Web Development,https://www.udemy.com/course/introduction-to-web-development/,4.3,21036,"Framework Tech Media,Mark Lassoff",1.5 hours,,$13.99 ,,,"html,css,javascript,html5",,,,,English,Web Development,
Web Developer Fundamentals: Newbie to Pro Web Bootcamp!,https://www.udemy.com/course/become-a-web-developer/,4.5,7334,Simon Sez IT,545 hours,,$13.99 ,,,"html,css,javascript,xml,python",,,"jquery,bootstrap.angularjs",,English,Web Development,
Free Meteor Framework Tutorial - Build your first real-time web application with MeteorJS,https://www.udemy.com/course/build-your-first-real-time-web-application-with-meteorjs/,3.1,11112,Tom·ö HromnÌk,0.6 hours,,Free,,,,,,meteor,,English,Web Development,
The Complete Web Developer Bootcamp - Beginner to Expert,https://www.udemy.com/course/job-ready-web-developer/,4.3,15474,Rob Dey,21 hours,,$13.99 ,,,"html,css,javascript,ruby",git,,"jquery,rails,bootstrap,heroku",,English,Web Development,
Bootstrap 3 Introduction : Create RESPONSIVE Websites Fast,https://www.udemy.com/course/bootstrap-3-introduction-make-responsive-websites-fast/,4.3,3442,Edwin Diaz,,,$13.99 ,,grid system,javascript,,,bootstrap,,English,Web Development,
Free Android Development Tutorial - Android Development for Newbies (8+ Hours of Content),https://www.udemy.com/course/learn-by-doing-android-for-beginners/,4.2,149082,Ragunath Jawahar,8 hours,,Free,,,,,android,android saripaar,,English,Mobile Development,
Free Android Development Tutorial - Beginning with Android Development : First App and Beyond,https://www.udemy.com/course/beginning-with-android-development-first-app-and-beyond/,3.7,45127,Rajat Sharma,3.1 hours,,Free,,,,,android,,,English,Mobile Development,
Free Android Development Tutorial - Become an Android Developer from Scratch,https://www.udemy.com/course/become-an-android-developer-from-scratch/,4.5,575261,11.5 hours,,,Free,,,,,android,,,English,Mobile Development,
The Complete Android Oreo and Nougat App Tutorials,https://www.udemy.com/course/android-smartherd/,4.4,20368,Smartherd Developers,17.5 hours,,$13.99 ,,fledged graphics,,android studio,"android,android lollipop,android nougat",,,English,Android Development,
Complete Android Programming with KitKat 4.4,https://www.udemy.com/course/complete-android-programming-with-kitkat-44/,4.5,3257,EDUmobile Academy,10.5 hours,,$13.99 ,,,java,"sqlite,android studio","android kit kat,android",opengl-es,,English,Mobile Development,
Android Studio Course. Build Apps. Android 6.0 Marshmallow,https://www.udemy.com/course/android-tutorial-from-beginner-to-professional/,4,8894,Antonio PachÛn,95 hours,,$13.99 ,,"fragment,tabs,action bar,google maps,google admob,rest api,httpconnection",json,sqlite,"android,android lollipop",,,English,Android Development,
Free Parse Tutorial - Integrating Parse into an Android Chat app template,https://www.udemy.com/course/integrating-parse-into-an-android-chat-app-template/,4,20819,My App Templates,1 hours,,Free,,,java,"eclipse,android eclipse",android,,,English,Mobile Development,
Learn SQLite Programming on Android Kitkat,https://www.udemy.com/course/learn-sqlite-programming-on-android-kitkat/,4.6,3008,EDUmobile Academy,2 hours,,$13.99 ,,,,sqlite,android,,,"English,Polish,Romanian",Mobile Development,
Free Android Development Tutorial - Learn Android Wear Programming,https://www.udemy.com/course/learn-android-wear-programming/,4.7,27664,,6.7 hours,,Free,,"android wear,design principles",,"android sdk,android studio",android,,,English,Android Development,
"Free Android Development Tutorial - Android Processes,Threads Slidenerd Style",https://www.udemy.com/course/master-android-zero-to-hero/,4.1,47574,Vivek Ramesh,6.3 hours,,Free,,"threads,handlers and services,asynctask,processes in android",,,android,,,English,Mobile Development,
Free Android Development Tutorial - Android Fundamentals: Ultimate Tutorial for App Development,https://www.udemy.com/course/ultimate-android-lollipop-app-development-course/,4.1,74494,"Eduonix Learning Solutions,Eduonix-Tech .",7.1 hours,,Free,,"adapters and dynamic views,fragments and user navigation",,,android,,,English,Mobile Development,
Develop Android and iphone apps without coding,https://www.udemy.com/course/create-apps-for-android-and-iphone-without-coding/,4.4,141,DoEdu IT Educations,2.5 hours,,$13.99 ,,,,,"android,iphone,ipad",,,English,Mobile Development,
Free Android Development Tutorial - Deploying Android Apps to Different App Stores - Correctly!,https://www.udemy.com/course/deploying-android-apps-to-different-app-stores-correctly/,4.8,23022,Jason Low,0.5 hours,,Free,,,,eclipse,android,,,English,Mobile Development,
Android N: From Beginner to Paid Professional,https://www.udemy.com/course/learn-android/,4.4,15699,"Mark Wahlbeck,Devslopes by Mark Wahlbeck",25 hours,,$18.99 ,,coding principles,"swift,java",,"ios,android",,,English,Mobile Development,
iOS Development for Android Developers,https://www.udemy.com/course/ios-for-android/,4.2,1606,Abdullah Joseph,6.5 hours,,$13.99 ,,rest api,swift,xcode,"ios,android",,,English,Mobile Development,
"Free iOS Development Tutorial - iOS,Android and Web Application Training - My Instagram App",https://www.udemy.com/course/ios-android-and-web-application-training-my-instagram-app/,4.2,5205,Vivian Aranha,1.2 hours,,Free,,"web application,android application,ios application","html,css,javascript,objective-c,java",instagram api,android,,,English,Mobile Development,
Android Game Development for Beginners - Learn Core Concepts,https://www.udemy.com/course/android-game-development-for-beginners-learn/,4.6,2365,Sandip Bhattacharya,2.5 hours,,$14.99 ,,object-oriented programming,"java,xml",android studio,android,,,English,Game Development,
Software Testing,https://www.udemy.com/course/software-testing-course/,3.2,2589,Ganesh Sahai,22.5 hours,,$13.99 ,,"software testing,software lifecycle,test management,test automaton",,,,,,English,Software Testing,
Technical Web Testing 101,https://www.udemy.com/course/technical-web-testing-101/,4.4,9499,Alan Richardson,10 hours,,$13.99 ,,"http proxy,modern browser functionality,software testing",,,,,,English,Software Testing,
Free Software Testing Tutorial - Getting Started With Software Testing Context and Basics,https://www.udemy.com/course/getting-started-with-software-testing-context-and-basics/,4,34592,Ganesh Sahai,1.8 hours,,Free,,"solid selenium tests,software testing",,selenium,,,,English,Software Testing,
Selenium WebDriver with Python Tutorial,https://www.udemy.com/course/selenium-webdriver-with-python/,4,3011,Gabiste Akoua,3.5 hours,,$13.99 ,,"css selectors,selen,software testing",xpath,"nose,selenium grid",,,,English,Software Testing,
"Software Testing,QA Testing,Manual Testing,SDLC,Test Plan",https://www.udemy.com/course/software-testing-qa-fundamentals-and-manual-testing-concept/,4.3,3929,QAEversity .,2 hours,,$14.99 ,,"software development life cycle,software testing,uft solution,test soap web services",,,,,,English,Software Testing,
Software testing and Automation of APIs with UFT/QTP,https://www.udemy.com/course/software-testing-api-testing-101-with-uft/,4.1,3234,QTP  Tutorial,4 hours,,$13.99 ,,"perform api testing,software api testing,uft solution,software testing",,,,,,English,Software Testing,
Best QA Manual Software Testing: Live Project+Agile+Jira+API,https://www.udemy.com/course/best-manual-software-testing-live-project-agile-jira/,4.2,11091,Richa Mehta,4 hours,,$13.99 ,,"agile,real time testing",,jira,,,,English,Software Testing,
Basic Manual Software Testing +Agile+Bugzilla for beginners,https://www.udemy.com/course/manual-software-testing-course-best-for-beginners/,4.4,3196,kiran kumar kuchana,9.5 hours,,$13.99 ,,"agle,scrum,software testing,manual testing",,jira,,,,"English,Italian,Polish,Romanian",Software Testing,
Free Agile Tutorial - Foundations of Agile Software Testing,https://www.udemy.com/course/foundations-of-agile-software-testing-j/,4.4,17044,Mary Ann Schatteman,1.3 hours,,Free,,"software testing,agile,artifacts",,,,,,English,Software Testing,
Free Software Testing Tutorial - Everything for Software Tester,https://www.udemy.com/course/everything-for-software-tester/,4,36598,Testing World,4 hours,,Free,,"software testing,software testing levels,unit testing,intergration testing,system testing,acceptance testing,smoke testing,functional testing,usability testing,security testing,performance testing,regression testing,compliance testing",,,,,,English,Software Testing,
Learn Software Testing from Scratch,https://www.udemy.com/course/learn-software-testing-from-scratch/,3.5,3263,"Eduonix Learning Solutions,Eduonix-Tech .",3 hours,,$13.99 ,,"software testing,test-driven development, functional testing,database testing",,metaspoilt,,,,English,Software Testing,
Web Services/Rest API Testing with SoapUI Projects Training,https://www.udemy.com/course/webservices-testing-with-soap-ui/,4.5,6395,Rahul Shetty,15 hours,,$13.99 ,,"web services,mocking the webservices,security testing,software testing",sql,soapui,,,,English,Software Testing,
Web Application Performance Testing,https://www.udemy.com/course/web-application-performance-testing/,3.9,1639,Mentors Net,4.5 hours,,$14.99 ,,"software testing,performance testing",,,,,,English,Software Testing,
SOFTWARE TESTING MASTERCLASS-2021 | JIRA | AGILE| DB Testing,https://www.udemy.com/course/software-manualtesting/,4.4,3791,Testing World,,,$13.99 ,,"software testing,manual testing,database testing,backend testing,agile,scrum,performance testing,rest api",,"jira,postman",,,,English,Software Testing,
Software Testing/ QA: Learn Basic Testing with live examples,https://www.udemy.com/course/software-qa-testing-strong-basics-with-live-examples/,3.6,3138,Syam Mohan,2 hours,,$14.99 ,,"test cases,software testing,regression testing,manual testing,automation testing",,jira,,,,English,Software Testing,
Unit Testing & Other Embedded Software Catalysts,https://www.udemy.com/course/unit-testing-and-other-embedded-software-catalysts/,4.5,1086,"Mark VanderVoord,Mike Karlesky",2.5 hours,,$74.99 ,,"embedded,unit tests,test-driven development,agile,xp,scrum,lean",c,unity,,,,"English,Polish,Romanian",Other IT & Software,
Step in to Java Automation|Try Step by Step Java for Testers,https://www.udemy.com/course/java-for-software-testers/,4,3038,T World,13.5 hours,,$13.99 ,,"software testing,api testing,oops,excel handing,db handling",,"selenium,appium,maven",,"junit,testng",,English,Software Testing,
Software Project Management For Start-ups And Solopreneurs,https://www.udemy.com/course/software-project-management-for-start-ups/,4.4,7693,Alex Genadinik,2 hours,,$13.99 ,,,,trello,,,,English,Project Management,
"Project Management Softwares,Trello Basecamp Zoho Insightly",https://www.udemy.com/course/choosing-the-right-project-management-software-for-you/,4.3,1101,Nour Tarzi,2.5 hours,,$13.99 ,,,,"trello,basecamp,zoho",,,,English,Project Management,
Learn JIRA for Beginners,https://www.udemy.com/course/jira-software-training/,4.3,1994,Kumar M,3.5 hours,,$13.99 ,,,,jira,,,,English,JIRA,
