CourseName,CourseLink,CourseLevel,CourseDuration,CoursePrice,Enroll,Rate,Organization,Website,LinkToWebsite
Data Visualization,https://www.coursera.org/learn/datavisualization,,15.0,0.0,106,4.5,University of Illinois at Urbana-Champaign,coursera,www.coursera.org
Design Thinking and Predictive Analytics for Data Products,https://www.coursera.org/learn/design-thinking-predictive-analytics-data-products,Intermediate,8.0,0.0,7,4.5,University of California San Diego,coursera,www.coursera.org
Serverless Data Processing with Dataflow: Develop Pipelines,https://www.coursera.org/learn/developing-pipelines-on-dataflow,Advanced,19.0,0.0,0,4.0,Google Cloud,coursera,www.coursera.org
"Developing Applications with SQL, Databases, and Django ",https://www.coursera.org/learn/developing-applications-with-sql-databases-and-django,Intermediate,15.0,0.0,4,4.5,IBM,coursera,www.coursera.org
Web Application Technologies and Django,https://www.coursera.org/learn/django-database-web-apps,Intermediate,15.0,0.0,57,4.7,University of Michigan,coursera,www.coursera.org
Amazon DynamoDB: Building NoSQL Database-Driven Applications,https://www.coursera.org/learn/dynamodb-nosql-database-driven-apps,Intermediate,10.0,0.0,10,4.7,Amazon Web Services,coursera,www.coursera.org
Enterprise Database Migration,https://www.coursera.org/learn/enterprise-database-migration,Intermediate,19.0,0.0,2,0.0,Google Cloud,coursera,www.coursera.org
Building Database Applications in PHP,https://www.coursera.org/learn/database-applications-php,Intermediate,24.0,0.0,39,4.9,University of Michigan,coursera,www.coursera.org
Data Science Math Skills,https://www.coursera.org/learn/datasciencemathskills,Basic,13.0,0.0,289,4.5,Duke University,coursera,www.coursera.org
"Database Architecture, Scale, and NoSQL with Elasticsearch",https://www.coursera.org/learn/database-architecture-scale-nosql-elasticsearch-postgresql,Intermediate,10.0,0.0,2,4.3,University of Michigan,coursera,www.coursera.org
Database Design and Basic SQL in PostgreSQL,https://www.coursera.org/learn/database-design-postgresql,Intermediate,14.0,0.0,10,4.8,University of Michigan,coursera,www.coursera.org
Database Management Essentials,https://www.coursera.org/learn/database-management,Intermediate,36.0,0.0,160,4.6,University of Colorado System,coursera,www.coursera.org
Data Science at Scale - Capstone Project,https://www.coursera.org/learn/datasci-capstone,,6.0,0.0,2,4.1,University of Washington,coursera,www.coursera.org
Data Science in Stratified Healthcare and Precision Medicine,https://www.coursera.org/learn/datascimed,Intermediate,17.0,0.0,16,4.6,The University of Edinburgh,coursera,www.coursera.org
