,ProgrammingLanguage,Framework,Knowledge,Tool,Platform,jobCount
19004,JAVA,SPARK,TEST AUTOMATION,ANDROID KITKAT4,,65
19003,JAVA,SPARK,CLOUD SERVER,ANDROID KITKAT4,,65
19002,JAVA,SPARK,PARSE WEBSITE,ANDROID KITKAT4,,65
19001,JAVA,SPARK,ASO,ANDROID KITKAT4,,65
19000,JAVA,SPARK,GRAPHICS EDITING,ANDROID KITKAT4,,65
18999,JAVA,SPARK,MOBILE APPLICATION,ANDROID KITKAT4,,65
18998,JAVA,SPARK,ANDROID APP,ANDROID KITKAT4,,65
18997,JAVA,SPARK,ANDROID APPS,ANDROID KITKAT4,,65
18996,JAVA,SPARK,SOUND EDITING,ANDROID KITKAT4,,65
18995,JAVA,SPARK,MOBILE APPLICATIONS DEVELOPMENT,ANDROID KITKAT4,,65
18994,JAVA,SPARK,REST SERVICES,ANDROID KITKAT4,,65
18993,JAVA,SPARK,WEB APPLICATIONS,ANDROID KITKAT4,,65
19071,JAVA,SPARK,ANDROID PROGRAMMING,GEOFENCING APP,,65
19168,JAVA,SPARK,WEBDRIVERWAIT,LOG4J,,65
19073,JAVA,SPARK,WEB APPLICATION ARCHITECTURE,GEOFENCING APP,,65
19141,JAVA,SPARK,APPLICATION DEVELOPMENT,LOG4J,,65
19152,JAVA,SPARK,WEB APPLICATIONS,LOG4J,,65
19151,JAVA,SPARK,AUTOMATION FRAMEWORK DESIGN,LOG4J,,65
19150,JAVA,SPARK,WEB UI AUTOMATION,LOG4J,,65
19149,JAVA,SPARK,CROSS-BROWSER TESTING,LOG4J,,65
19148,JAVA,SPARK,DATABASE TESTING,LOG4J,,65
19147,JAVA,SPARK,BEHAVIOR DRIVEN TESTING,LOG4J,,65
19146,JAVA,SPARK,PERFORMANCE TESTING,LOG4J,,65
19145,JAVA,SPARK,WEB AUTOMATION,LOG4J,,65
19144,JAVA,SPARK,CONTINUOUS INTEGRATION,LOG4J,,65
19143,JAVA,SPARK,GOOGLE MAPSAPI,LOG4J,,65
19142,JAVA,SPARK,ANDROID LOLLIPOP APP DEVELOPMENT,LOG4J,,65
19140,JAVA,SPARK,FILE CACHE,LOG4J,,65
19074,JAVA,SPARK,WEB APPLICATION,GIT,,65
19139,JAVA,SPARK,DRAWABLES,LOG4J,,65
19138,JAVA,SPARK,MEMORY,LOG4J,,65
19137,JAVA,SPARK,XML,LOG4J,,65
19136,JAVA,SPARK,CANVAS,LOG4J,,65
19135,JAVA,SPARK,ANDROID NATIVE APPLICATION,LOG4J,,65
19134,JAVA,SPARK,ANDROID APIS,LOG4J,,65
19133,JAVA,SPARK,SETUP AND ACCESS THE SHERLOCK EXTENSION,LOG4J,,65
19132,JAVA,SPARK,ANDROID APPLICATION,LOG4J,,65
19131,JAVA,SPARK,DATA ANALYSIS,LOG4J,,65
19130,JAVA,SPARK,DATA PARALLEL,LOG4J,,65
19129,JAVA,SPARK,BIG DATA,LOG4J,,65
19153,JAVA,SPARK,REST SERVICES,LOG4J,,65
19154,JAVA,SPARK,MOBILE APPLICATIONS DEVELOPMENT,LOG4J,,65
19155,JAVA,SPARK,SOUND EDITING,LOG4J,,65
19156,JAVA,SPARK,ANDROID APPS,LOG4J,,65
19179,JAVA,SPARK,WEB APPLICATION ARCHITECTURE,LOG4J,,65
19178,JAVA,SPARK,WEB APPLICATION DEVELOPMENT,LOG4J,,65
19177,JAVA,SPARK,ANDROID PROGRAMMING,LOG4J,,65
19176,JAVA,SPARK,SOFTWARE ARCHITECTURE,LOG4J,,65
19175,JAVA,SPARK,ANDROID APP DEVELOPMENT,LOG4J,,65
19174,JAVA,SPARK,API,LOG4J,,65
19173,JAVA,SPARK,MOBILE DEVELOPMENT,LOG4J,,65
